Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Dep_Hr,Dep_Min,Arr_Hr,Arr_Min,Duration_Hr,Duration_Min,Duration_bool
IndiGo,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13:30,1,No Info,6093,3,JUN,2019,7,30,21,0,13,30.0,810.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15,13:20,1,In-flight meal not included,11841,9,JUN,2019,18,55,8,15,13,20.0,800.0
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05,12:55,1,In-flight meal not included,9663,9,MAY,2019,21,10,10,5,12,55.0,775.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:00,23:45,1,No Info,14714,6,JUN,2019,19,15,19,0,23,45.0,1425.0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,22:35,27:40,1,In-flight meal not included,8529,12,JUN,2019,18,55,22,35,27,40.0,1660.0
IndiGo,6/04/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4:35,1,No Info,5073,6,APR,2019,7,35,12,10,4,35.0,275.0
Air India,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9:15,1,No Info,9194,6,JUN,2019,10,0,19,15,9,15.0,555.0
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7:20,1,No Info,11789,12,JUN,2019,11,40,19,0,7,20.0,440.0
SpiceJet,12/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1:30,0,No Info,2017,12,JUN,2019,13,15,14,45,1,30.0,90.0
IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2:45,0,No Info,3419,9,MAY,2019,1,30,4,15,2,45.0,165.0
Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25,22:55,2,In-flight meal not included,10368,9,JUN,2019,5,30,4,25,22,55.0,1375.0
IndiGo,24/04/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4:50,1,No Info,6027,24,APR,2019,15,10,20,0,4,50.0,290.0
Air India,18/05/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25,12:45,1,No Info,7480,18,MAY,2019,20,40,9,25,12,45.0,765.0
SpiceJet,12/06/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8:40,1,No Info,7189,12,JUN,2019,8,35,17,15,8,40.0,520.0
Air India,15/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2:45,0,No Info,7276,15,MAR,2019,10,0,12,45,2,45.0,165.0
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25,16:55,1,No Info,15764,6,MAR,2019,11,30,4,25,16,55.0,1015.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25,9:10,1,No Info,14714,6,JUN,2019,19,15,4,25,9,10.0,550.0
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,17:00,01:30,8:30,1,No Info,7888,21,MAY,2019,17,0,1,30,8,30.0,510.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,04:25,20:25,1,In-flight meal not included,10262,6,JUN,2019,8,0,4,25,20,25.0,1225.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25,8:25,2,In-flight meal not included,15318,18,MAY,2019,20,0,4,25,8,25.0,505.0
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7:15,1,In-flight meal not included,5608,1,MAY,2019,10,20,17,35,7,15.0,435.0
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9:50,1,No Info,12681,1,APR,2019,8,25,18,15,9,50.0,590.0
Air India,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,17:15,09:25,16:10,2,No Info,9417,6,MAR,2019,17,15,9,25,16,10.0,970.0
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,21:00,13:55,1,No Info,17057,3,MAR,2019,7,5,21,0,13,55.0,835.0
Air India,27/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21:15,2,No Info,10651,27,MAY,2019,22,0,19,15,21,15.0,1275.0
Vistara,1/06/2019,Delhi,Cochin,DEL → COK,06:00,09:10,3:10,0,No Info,6741,1,JUN,2019,6,0,9,10,3,10.0,190.0
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,22:35,26:35,1,In-flight meal not included,10844,24,MAY,2019,20,0,22,35,26,35.0,1595.0
Air India,27/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15,28:50,2,No Info,13381,27,MAY,2019,14,25,19,15,28,50.0,1730.0
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2:45,0,No Info,4423,6,APR,2019,6,5,8,50,2,45.0,165.0
Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1:30,0,No Info,5678,27,MAY,2019,19,35,21,5,1,30.0,90.0
IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4:35,1,No Info,5054,1,JUN,2019,7,35,12,10,4,35.0,275.0
Air India,24/05/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25,23:40,1,No Info,7480,24,MAY,2019,9,45,9,25,23,40.0,1420.0
Air India,3/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2:45,0,No Info,6961,3,JUN,2019,17,0,19,45,2,45.0,165.0
SpiceJet,24/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2:30,0,No check-in baggage included,3841,24,APR,2019,17,10,19,40,2,30.0,150.0
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2:50,0,No check-in baggage included,4319,15,MAY,2019,9,30,12,20,2,50.0,170.0
IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2:50,0,No Info,4423,24,APR,2019,13,0,15,50,2,50.0,170.0
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25,5:35,1,No Info,16079,21,MAY,2019,22,50,4,25,5,35.0,335.0
Air India,1/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25,20:10,2,No Info,10467,1,JUN,2019,13,15,9,25,20,10.0,1210.0
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35,19:5,1,No Info,14714,3,JUN,2019,17,30,12,35,19,5.0,1145.0
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → BLR,16:45,21:05,28:20,1,No Info,7452,1,MAY,2019,16,45,21,5,28,20.0,1700.0
Air India,21/05/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,19:15,29:55,2,No Info,13276,21,MAY,2019,13,20,19,15,29,55.0,1795.0
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,10:35,25:45,2,No Info,31783,1,MAR,2019,8,50,10,35,25,45.0,1545.0
Air India,1/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2:15,0,No Info,4667,1,MAY,2019,11,40,13,55,2,15.0,135.0
Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2:55,0,In-flight meal not included,7229,15,JUN,2019,15,15,18,10,2,55.0,175.0
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,12:35,18:10,2,No Info,14237,15,JUN,2019,18,25,12,35,18,10.0,1090.0
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8:55,1,No Info,8266,15,MAY,2019,10,20,19,15,8,55.0,535.0
IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2:50,0,No Info,4823,6,MAY,2019,20,0,22,50,2,50.0,170.0
Air Asia,24/05/2019,Banglore,Delhi,BLR → DEL,23:55,02:45,2:50,0,No Info,4483,24,MAY,2019,23,55,2,45,2,50.0,170.0
Air India,12/06/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2:45,0,No Info,6961,12,JUN,2019,6,10,8,55,2,45.0,165.0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05,15:10,1,In-flight meal not included,9663,12,MAY,2019,18,55,10,5,15,10.0,910.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25,29:20,2,No Info,16704,18,MAY,2019,23,5,4,25,29,20.0,1760.0
IndiGo,12/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1:30,0,No Info,4049,12,MAY,2019,9,10,10,40,1,30.0,90.0
SpiceJet,24/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2:15,0,No check-in baggage included,3807,24,MAR,2019,8,20,10,35,2,15.0,135.0
IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15:40,1,No Info,6442,9,JUN,2019,6,50,22,30,15,40.0,940.0
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,07:40,24:40,1,In-flight meal not included,7832,15,MAR,2019,7,0,7,40,24,40.0,1480.0
IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13:55,1,No Info,6442,24,JUN,2019,8,35,22,30,13,55.0,835.0
IndiGo,21/04/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2:50,0,No Info,4823,21,APR,2019,20,0,22,50,2,50.0,170.0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,05:05,23:20,1,No Info,13555,6,MAR,2019,5,45,5,5,23,20.0,1400.0
Air Asia,15/05/2019,Banglore,Delhi,BLR → DEL,23:55,02:45,2:50,0,No Info,3383,15,MAY,2019,23,55,2,45,2,50.0,170.0
GoAir,15/06/2019,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6:10,1,No Info,5842,15,JUN,2019,7,25,13,35,6,10.0,370.0
Air India,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:50,07:55,15:5,1,No Info,8366,1,MAY,2019,16,50,7,55,15,5.0,905.0
SpiceJet,9/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1:30,0,No check-in baggage included,1965,9,MAY,2019,5,45,7,15,1,30.0,90.0
SpiceJet,6/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2:30,0,No Info,3873,6,JUN,2019,17,10,19,40,2,30.0,150.0
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,20:20,12:20,1,No Info,27992,1,MAR,2019,8,0,20,20,12,20.0,740.0
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,12:35,7:40,1,No Info,10678,6,JUN,2019,4,55,12,35,7,40.0,460.0
Air India,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:50,23:15,14:25,1,No Info,6824,21,MAR,2019,8,50,23,15,14,25.0,865.0
Air India,12/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15,38:15,2,No Info,9443,12,JUN,2019,5,0,19,15,38,15.0,2295.0
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:15,12:10,1,No Info,13378,21,MAR,2019,7,5,19,15,12,10.0,730.0
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No Info,3943,1,MAY,2019,4,0,6,50,2,50.0,170.0
IndiGo,18/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9:35,1,No Info,7191,18,MAY,2019,11,25,21,0,9,35.0,575.0
SpiceJet,27/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2:40,0,No Info,3625,27,JUN,2019,5,55,8,35,2,40.0,160.0
GoAir,27/05/2019,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6:10,1,No Info,6841,27,MAY,2019,7,25,13,35,6,10.0,370.0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,23:25,6:30,1,In-flight meal not included,11134,24,MAR,2019,16,55,23,25,6,30.0,390.0
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45,25:50,1,No Info,14571,6,JUN,2019,18,55,20,45,25,50.0,1550.0
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,12:15,30:25,3,No Info,12346,1,MAR,2019,5,50,12,15,30,25.0,1825.0
Jet Airways,9/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25,13:50,2,No Info,13376,9,JUN,2019,14,35,4,25,13,50.0,830.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,12:25,17:30,1,In-flight meal not included,11087,12,MAR,2019,18,55,12,25,17,30.0,1050.0
SpiceJet,3/03/2019,Kolkata,Banglore,CCU → BLR,09:00,11:30,2:30,0,No Info,5515,3,MAR,2019,9,0,11,30,2,30.0,150.0
IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2:35,0,No Info,4804,27,JUN,2019,4,40,7,15,2,35.0,155.0
IndiGo,12/06/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2:20,0,No Info,3597,12,JUN,2019,13,15,15,35,2,20.0,140.0
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13:15,1,No Info,15353,6,MAR,2019,6,0,19,15,13,15.0,795.0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9:50,1,In-flight meal not included,9899,12,JUN,2019,6,30,16,20,9,50.0,590.0
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,18:25,21:20,2:55,0,No Info,7303,24,MAR,2019,18,25,21,20,2,55.0,175.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,21:20,12:25,1,No Info,13817,12,MAR,2019,8,55,21,20,12,25.0,745.0
Jet Airways,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:45,24:35,2,No Info,19329,6,MAR,2019,19,10,19,45,24,35.0,1475.0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5:30,1,No Info,16289,12,JUN,2019,7,5,12,35,5,30.0,330.0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05,15:10,1,In-flight meal not included,9663,15,MAY,2019,18,55,10,5,15,10.0,910.0
Air India,3/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25,23:40,2,No Info,10975,3,JUN,2019,9,45,9,25,23,40.0,1420.0
Air Asia,18/03/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2:35,0,No Info,4384,18,MAR,2019,10,20,12,55,2,35.0,155.0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25,13:50,2,In-flight meal not included,10919,12,JUN,2019,14,35,4,25,13,50.0,830.0
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40,14:35,1,No Info,14388,21,MAY,2019,14,5,4,40,14,35.0,875.0
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:00,7:35,1,No Info,10877,15,JUN,2019,11,25,19,0,7,35.0,455.0
Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35,13:30,2,No Info,15129,9,MAY,2019,23,5,12,35,13,30.0,810.0
IndiGo,6/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13:30,1,No Info,7191,6,MAY,2019,7,30,21,0,13,30.0,810.0
GoAir,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45,8:15,1,No Info,6686,1,MAY,2019,23,30,7,45,8,15.0,495.0
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:30,12:40,1,No Info,7530,3,JUN,2019,12,50,1,30,12,40.0,760.0
IndiGo,15/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:30,14:55,1,No Info,6442,15,JUN,2019,7,35,22,30,14,55.0,895.0
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,12:35,27:35,1,In-flight meal not included,10262,27,JUN,2019,9,0,12,35,27,35.0,1655.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,09:30,14:35,1,No Info,13817,12,MAR,2019,18,55,9,30,14,35.0,875.0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9:30,1,No Info,13626,12,JUN,2019,14,5,23,35,9,30.0,570.0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05,15:10,1,No Info,14388,12,MAY,2019,18,55,10,5,15,10.0,910.0
IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2:35,0,No Info,4804,27,APR,2019,4,40,7,15,2,35.0,155.0
IndiGo,21/03/2019,Delhi,Cochin,DEL → COK,14:30,17:35,3:5,0,No Info,5406,21,MAR,2019,14,30,17,35,3,5.0,185.0
SpiceJet,3/04/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4:55,1,No Info,4611,3,APR,2019,17,55,22,50,4,55.0,295.0
IndiGo,9/06/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4:50,1,No Info,5069,9,JUN,2019,8,10,13,0,4,50.0,290.0
GoAir,6/06/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2:55,0,No Info,3898,6,JUN,2019,7,45,10,40,2,55.0,175.0
IndiGo,6/06/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1:30,0,No Info,2754,6,JUN,2019,12,0,13,30,1,30.0,90.0
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30,10:30,1,In-flight meal not included,6943,27,MAY,2019,15,0,1,30,10,30.0,630.0
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,18:15,12:30,1,No Info,14781,18,MAY,2019,5,45,18,15,12,30.0,750.0
IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2:50,0,No Info,8033,15,MAR,2019,16,55,19,45,2,50.0,170.0
IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,18:25,21:20,2:55,0,No Info,6860,9,MAR,2019,18,25,21,20,2,55.0,175.0
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7:35,1,No Info,6953,27,MAR,2019,11,40,19,15,7,35.0,455.0
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2:55,0,No Info,4823,12,MAY,2019,7,10,10,5,2,55.0,175.0
IndiGo,9/04/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2:35,0,No Info,4174,9,APR,2019,4,40,7,15,2,35.0,155.0
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,19:00,29:35,2,No Info,12819,27,JUN,2019,13,25,19,0,29,35.0,1775.0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40,7:30,1,In-flight meal not included,9663,15,MAY,2019,21,10,4,40,7,30.0,450.0
SpiceJet,3/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2:35,0,No check-in baggage included,3841,3,MAY,2019,6,55,9,30,2,35.0,155.0
IndiGo,27/06/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3:15,0,No Info,5000,27,JUN,2019,5,35,8,50,3,15.0,195.0
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,22:10,16:20,2,Change airports,13366,1,MAR,2019,5,50,22,10,16,20.0,980.0
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,21:55,16:45,18:50,1,No Info,12395,6,MAR,2019,21,55,16,45,18,50.0,1130.0
Air India,15/05/2019,Kolkata,Banglore,CCU → GAU → BLR,16:45,21:05,28:20,1,No Info,7452,15,MAY,2019,16,45,21,5,28,20.0,1700.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,19:00,23:15,1,No Info,15554,18,MAY,2019,19,45,19,0,23,15.0,1395.0
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,15:05,22:5,1,No Info,13067,6,MAY,2019,17,0,15,5,22,5.0,1325.0
IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2:35,0,No Info,6565,1,MAR,2019,15,10,17,45,2,35.0,155.0
SpiceJet,24/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1:30,0,No check-in baggage included,1965,24,MAY,2019,5,45,7,15,1,30.0,90.0
SpiceJet,27/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2:35,0,No check-in baggage included,3332,27,MAR,2019,9,30,12,5,2,35.0,155.0
IndiGo,21/03/2019,Banglore,New Delhi,BLR → LKO → DEL,05:25,10:10,4:45,1,No Info,6208,21,MAR,2019,5,25,10,10,4,45.0,285.0
Air India,18/03/2019,Banglore,New Delhi,BLR → GAU → DEL,13:50,18:40,28:50,1,No Info,11161,18,MAR,2019,13,50,18,40,28,50.0,1730.0
Air India,12/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45,27:45,2,No Info,12224,12,JUN,2019,10,0,13,45,27,45.0,1665.0
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00,17:5,1,In-flight meal not included,9663,1,MAY,2019,18,55,12,0,17,5.0,1025.0
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6:20,1,No Info,12284,18,MAR,2019,8,55,15,15,6,20.0,380.0
Air India,27/05/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25,16:5,1,No Info,7480,27,MAY,2019,17,20,9,25,16,5.0,965.0
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25,9:10,1,No Info,17024,6,MAR,2019,19,15,4,25,9,10.0,550.0
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,19:10,22:45,1,No Info,14151,6,JUN,2019,20,25,19,10,22,45.0,1365.0
IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2:35,0,No Info,4804,21,JUN,2019,17,15,19,50,2,35.0,155.0
Vistara,21/03/2019,Banglore,New Delhi,BLR → AMD → DEL,06:40,21:55,15:15,1,No Info,6065,21,MAR,2019,6,40,21,55,15,15.0,915.0
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45,13:20,1,No Info,14151,18,MAY,2019,20,25,9,45,13,20.0,800.0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00,17:5,1,No Info,14231,24,MAR,2019,18,55,12,0,17,5.0,1025.0
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,09:25,17:45,1,No Info,12395,6,MAR,2019,15,40,9,25,17,45.0,1065.0
IndiGo,24/04/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5:25,1,No Info,5636,24,APR,2019,2,0,7,25,5,25.0,325.0
Air India,6/04/2019,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,5:20,1,No Info,5232,6,APR,2019,17,40,23,0,5,20.0,320.0
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,04:25,14:25,1,No Info,14714,1,JUN,2019,14,0,4,25,14,25.0,865.0
IndiGo,6/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2:20,0,No Info,3850,6,MAY,2019,7,55,10,15,2,20.0,140.0
Air India,27/05/2019,Delhi,Cochin,DEL → BLR → COK,17:40,09:35,15:55,1,No Info,7258,27,MAY,2019,17,40,9,35,15,55.0,955.0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,20:20,22:55,1,No Info,17471,6,MAR,2019,21,25,20,20,22,55.0,1375.0
SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05,2:55,0,No Info,4423,9,MAY,2019,21,10,0,5,2,55.0,175.0
IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1:30,0,No Info,2227,18,JUN,2019,21,20,22,50,1,30.0,90.0
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30,15:30,1,No Info,13377,24,JUN,2019,10,0,1,30,15,30.0,930.0
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2:50,0,No Info,6860,21,MAR,2019,16,55,19,45,2,50.0,170.0
IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30,6:55,1,No Info,6628,1,JUN,2019,18,35,1,30,6,55.0,415.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35,23:35,1,In-flight meal not included,11627,6,JUN,2019,13,0,12,35,23,35.0,1415.0
SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2:30,0,No Info,4174,9,JUN,2019,17,10,19,40,2,30.0,150.0
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25,10:10,1,No Info,14714,1,JUN,2019,18,15,4,25,10,10.0,610.0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11:30,1,No Info,14151,12,MAY,2019,9,35,21,5,11,30.0,690.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25,6:35,1,In-flight meal not included,12373,18,MAY,2019,21,50,4,25,6,35.0,395.0
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2:50,0,No Info,3943,18,JUN,2019,10,10,13,0,2,50.0,170.0
Air Asia,9/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8:20,2,No Info,7870,9,JUN,2019,15,10,23,30,8,20.0,500.0
Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3:5,0,No Info,8016,18,JUN,2019,18,55,22,0,3,5.0,185.0
Air India,15/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:05,09:25,20:20,2,No Info,10975,15,MAY,2019,13,5,9,25,20,20.0,1220.0
IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2:20,0,No Info,3850,27,MAY,2019,7,55,10,15,2,20.0,140.0
IndiGo,18/06/2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2:45,0,No Info,4804,18,JUN,2019,20,25,23,10,2,45.0,165.0
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,20:50,04:25,7:35,1,No Info,15554,9,MAR,2019,20,50,4,25,7,35.0,455.0
SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,06:55,09:35,2:40,0,No Info,4465,18,MAR,2019,6,55,9,35,2,40.0,160.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05,12:55,1,In-flight meal not included,11841,9,JUN,2019,21,10,10,5,12,55.0,775.0
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11:15,1,No Info,19332,9,MAR,2019,8,0,19,15,11,15.0,675.0
